Wire Number,Wire Plane,Crate,Card,FEM Channel,Slot,Feedthrough,Wire Plane,Motherboard
1776,U,6,5,0,9,7,U,31
1777,U,6,5,2,9,7,U,31
1778,U,6,5,4,9,7,U,31
1779,U,6,5,6,9,7,U,31
1780,U,6,5,8,9,7,U,31
1781,U,6,5,10,9,7,U,31
1782,U,6,5,12,9,7,U,31
1783,U,6,5,14,9,7,U,31
1788,U,6,5,24,9,7,U,31
1771,U,6,6,22,10,7,U,30
1772,U,6,6,24,10,7,U,30
1773,U,6,6,26,10,7,U,30
1774,U,6,6,28,10,7,U,30
1775,U,6,6,30,10,7,U,30
1751,U,6,7,14,11,7,U,30
1752,U,6,7,16,11,7,U,30
1753,U,6,7,18,11,7,U,30
1754,U,6,7,20,11,7,U,30
1755,U,6,7,22,11,7,U,30
1756,U,6,7,24,11,7,U,30
1757,U,6,7,26,11,7,U,30
1758,U,6,7,28,11,7,U,30
1759,U,6,7,30,11,7,U,30
1728,U,6,8,0,12,7,U,30
1729,U,6,8,2,12,7,U,30
1730,U,6,8,4,12,7,U,30
1731,U,6,8,6,12,7,U,30
1732,U,6,8,8,12,7,U,30
1733,U,6,8,10,12,7,U,30
1734,U,6,8,12,12,7,U,30
1735,U,6,8,14,12,7,U,30
1736,U,6,8,16,12,7,U,30
1737,U,6,8,18,12,7,U,30
1738,U,6,8,20,12,7,U,30
1739,U,6,8,22,12,7,U,30
1740,U,6,8,24,12,7,U,30
1741,U,6,8,26,12,7,U,30
1742,U,6,8,28,12,7,U,30
1743,U,6,8,30,12,7,U,30
2096,U,7,0,0,4,9,U,37
2097,U,7,0,2,4,9,U,37
2098,U,7,0,4,4,9,U,37
2099,U,7,0,6,4,9,U,37
2080,U,7,1,0,5,9,U,37
2082,U,7,1,4,5,9,U,37
2092,U,7,1,24,5,9,U,37
2093,U,7,1,26,5,9,U,37
2094,U,7,1,28,5,9,U,37
2095,U,7,1,30,5,9,U,37
1936,U,7,6,0,10,8,U,35
1951,U,7,6,30,10,8,U,35
1999,U,7,7,30,11,8,U,35
2927,Y,8,13,47,17,9,Y,38
2928,Y,8,13,48,17,9,Y,38
207,V,9,9,47,14,11,V,47
2384,U,9,11,0,16,10,U,43
2385,U,9,11,2,16,10,U,43
2386,U,9,11,4,16,10,U,43
2387,U,9,11,6,16,10,U,43
2388,U,9,11,8,16,10,U,43
2389,U,9,11,10,16,10,U,43
2390,U,9,11,12,16,10,U,43
2391,U,9,11,14,16,10,U,43
2392,U,9,11,16,16,10,U,43
2393,U,9,11,18,16,10,U,43
2394,U,9,11,20,16,10,U,43
2395,U,9,11,22,16,10,U,43
2396,U,9,11,24,16,10,U,43
2397,U,9,11,26,16,10,U,43
2398,U,9,11,28,16,10,U,43
2399,U,9,11,30,16,10,U,43
678,V,9,11,19,16,10,V,43
