 crate_id | slot | fem_channel | wireplane | wirenum 
----------+------+-------------+-----------+---------
        2 |   18 |           1 | V         |       0
        2 |   18 |          32 | Y         |       0
        1 |   18 |           0 | U         |       0
        2 |   18 |           3 | V         |       1
        1 |   18 |           1 | U         |       1
        2 |   18 |          33 | Y         |       1
        2 |   18 |          34 | Y         |       2
        1 |   18 |           2 | U         |       2
        2 |   18 |           5 | V         |       2
        1 |   18 |           3 | U         |       3
        2 |   18 |           7 | V         |       3
        2 |   18 |          35 | Y         |       3
        1 |   18 |           4 | U         |       4
        2 |   18 |           9 | V         |       4
        2 |   18 |          36 | Y         |       4
        1 |   18 |           5 | U         |       5
        2 |   18 |          37 | Y         |       5
        2 |   18 |          11 | V         |       5
        2 |   18 |          38 | Y         |       6
        1 |   18 |           6 | U         |       6
        2 |   18 |          13 | V         |       6
        1 |   18 |           7 | U         |       7
        2 |   18 |          15 | V         |       7
        2 |   18 |          39 | Y         |       7
        1 |   18 |           8 | U         |       8
        2 |   18 |          17 | V         |       8
        2 |   18 |          40 | Y         |       8
        2 |   18 |          41 | Y         |       9
        2 |   18 |          19 | V         |       9
        1 |   18 |           9 | U         |       9
        1 |   18 |          10 | U         |      10
        2 |   18 |          42 | Y         |      10
        2 |   18 |          21 | V         |      10
        2 |   18 |          23 | V         |      11
        1 |   18 |          11 | U         |      11
        2 |   18 |          43 | Y         |      11
        2 |   18 |          25 | V         |      12
        1 |   18 |          12 | U         |      12
        2 |   18 |          44 | Y         |      12
        2 |   18 |          45 | Y         |      13
        2 |   18 |          27 | V         |      13
        1 |   18 |          13 | U         |      13
        2 |   18 |          29 | V         |      14
        1 |   18 |          14 | U         |      14
        2 |   18 |          46 | Y         |      14
        1 |   18 |          15 | U         |      15
        2 |   18 |          31 | V         |      15
        2 |   18 |          47 | Y         |      15
        2 |   18 |          48 | Y         |      16
        1 |   18 |          16 | U         |      16
        2 |   17 |           1 | V         |      16
        2 |   18 |          49 | Y         |      17
        1 |   18 |          17 | U         |      17
        2 |   17 |           3 | V         |      17
        2 |   17 |           5 | V         |      18
        2 |   18 |          50 | Y         |      18
        1 |   18 |          18 | U         |      18
        2 |   17 |           7 | V         |      19
        1 |   18 |          19 | U         |      19
        2 |   18 |          51 | Y         |      19
        2 |   17 |           9 | V         |      20
        2 |   18 |          52 | Y         |      20
        1 |   18 |          20 | U         |      20
