    crate  slot  femch  nsamples_p50  pulse50rms  nsamples_p100  pulse100rms  nsamples_pulse    pulserms    eventrms  nsamples_evt  channelrms  nsamples_ch
29      1    18     48            50   71.731952            100    72.728194             300   72.809911   72.920773          1500   72.946060       150000
17      1    18     49            50   72.306173            100    72.323548             300   72.697647   72.804917          1500   72.830409       150000
32      1    18     50            50   70.075229            100    69.666376             300   69.877931   69.983131          1500   70.006628       150000
8       1    18     51            50   70.466949            100    71.534176             300   71.421703   71.532136          1500   71.563007       150000
35      1    18     52            50   66.305444            100    66.628351             300   66.850023   66.948076          1500   66.977585       150000
10      1    18     53            50   66.216423            100    66.891408             300   67.081481   67.183035          1500   67.206016       150000
38      1    18     54            50   65.477883            100    66.631186             300   66.705388   66.801099          1500   66.825859       150000
70      1    18     55            50   67.621608            100    67.375057             300   67.828345   67.930665          1500   67.954263       150000
19      1    18     56            50   64.303817            100    65.640941             300   65.915991   66.013259          1500   66.037771       150000
80      1    18     57            50   64.666425            100    65.599490             300   65.658178   65.746259          1500   65.773715       150000
23      1    18     58            50   65.210790            100    65.802767             300   65.945229   66.044720          1500   66.068564       150000
84      1    18     59            50   66.310724            100    66.559484             300   67.100140   67.203705          1500   67.225322       150000
25      1    18     60            50   67.728403            100    67.949852             300   68.500099   68.592810          1500   68.617788       150000
0       1    18     61            50   68.661512            100    69.263544             300   69.561847   69.662070          1500   69.680453       150000
27      1    18     62            50   71.661453            100    71.687614             300   72.199657   72.311698          1500   72.340443       150000
52      6     9      0            50   82.201534            100    82.379376             300   82.683971   82.843760          1500   82.876496       150000
48      6     9      2            50   84.421734            100    85.945473             300   85.996615   86.168858          1500   86.203015       150000
59      6     9      4            50   84.240937            100    85.005815             300   85.580356   85.740436          1500   85.784580       150000
55      6     9      6            50   83.122722            100    84.471233             300   84.627972   84.800096          1500   84.837831       150000
67      6     9      8            50    3.997855            100     4.022244             300    4.032039    4.040381          1500    4.042713       150000
63      6     9     10            50   84.293065            100    85.806257             300   85.816075   85.975407          1500   86.017947       150000
76      6     9     12            50   84.726340            100    85.462116             300   85.651628   85.812605          1500   85.845626       150000
72      6     9     14            50   85.096556            100    85.888896             300   85.994344   86.151766          1500   86.191868       150000
40      6     9     24            50   83.392560            100    83.790976             300   84.293694   84.444238          1500   84.492401       150000
74      6    10     22            50   83.710603            100    84.504312             300   84.895300   85.073475          1500   85.112055       150000
15      6    10     24            50   82.742619            100    83.882115             300   84.014488   84.163799          1500   84.203687       150000
65      6    10     26            50   82.026904            100    82.860142             300   83.181570   83.350253          1500   83.385380       150000
61      6    10     28            50   81.594432            100    83.372747             300   83.781134   83.937155          1500   83.978327       150000
57      6    10     30            50   83.547191            100    83.221886             300   84.106408   84.279371          1500   84.326088       150000
16      6    11     14            50    3.865788            100     3.942325             300    3.952988    3.960847          1500    3.963045       150000
69      6    11     16            50   80.264794            100    81.047644             300   81.777789   81.933206          1500   81.970615       150000
73      6    11     18            50    3.914537            100     3.929058             300    3.958025    3.966669          1500    3.968824       150000
78      6    11     20            50    3.945147            100     3.988142             300    3.998957    4.007202          1500    4.009308       150000
81      6    11     22            50    6.667311            100     6.904751             300    7.093162    8.217571          1500   10.553533       150000
