#run,subrun1,subrun2	crate:slot:femch
83,0,10		2:6:0
84,0,16		2:6:1
95,44,55	6:9:0
95,67,76	7:10:0
95,85,94	7:4:0
95,100,109	6:12:16
95,120,132	7:11:30
95,157,166	8:17:48
95,174,183	8:17:47
95,198,207	9:16:16
114,0,20	9:16:17	2:18:1
114,110,130	9:16:21	2:18:1
114,275,295	9:16:19	2:18:1
114,400,420	7:10:30	2:18:1
114,640,660	7:10:0	2:18:1
114,755,775	7:10:28	2:18:1
114,865,885	7:5:0	2:18:1
115,110,130	7:5:4	2:18:1
115,220,240	7:5:3	2:18:1
115,365,385	6:11:14	2:18:1
115,475,495	6:11:15	2:18:1
115,620,640	6:11:16	2:18:1
115,850,870	6:12:6	2:18:1
115,980,1000	6:12:7	2:18:1
117,0,20	6:11:20	2:18:1
117,115,135	6:12:16	2:18:1
119,0,20	6:10:22	2:18:1
119,110,130	6:10:16	2:18:1
119,230,250	6:12:20	2:18:1
119,350,370	6:9:24	2:18:1
130,0,8		6:16:19 2:18:1
131,0,11	6:16:19 2:18:1
138,15,24	7:14:47 7:14:47
138,41,50	7:11:47 7:11:47
138,54,63	7:17:15 7:17:15
138,69,78	7:11:15 7:11:15
138,83,92	7:14:14	7:14:14
138,114,123	8:17:47	8:17:47
138,127,136	8:14:47	8:14:47
139,0,9		8:17:15	8:17:15
139,13,22	8:14:15	8:14:15
139,27,36	8:17:14	8:17:14
139,41,50	8:14:14	8:14:14
139,70,79	2:18:1	2:18:1
139,83,92	2:18:1	2:18:1
139,96,105	2:18:1	2:18:1
139,111,120	2:18:1	2:18:1
139,127,136	2:18:1	2:18:1
139,140,149	2:18:1	2:18:1
139,155,164	2:18:1	2:18:1
140,0,9		2:18:1	2:18:1
140,13,22	2:18:1	2:18:1
140,28,37	2:18:1	2:18:1
140,41,50	2:18:1	2:18:1
140,55,64	2:18:1	2:18:1
140,71,80	2:18:1	2:18:1
